timestamp,can_id,dlc,label,attack_type,d0,d1,d2,d3,d4,d5,d6,d7
0.001,19,8,1,dos,8,255,253,254,231,122,2,0
0.002,80,1,1,fuzzy,112,90,66,222,39,238,127,68
0.003,1673,2,1,fuzzy,148,54,237,247,181,173,8,190
0.004,1959,6,1,fuzzy,158,222,57,96,253,156,234,134
0.005,19,8,1,dos,254,0,0,225,225,128,2,1
0.006,48,6,1,fuzzy,81,29,193,169,75,56,13,138
0.007,80,8,1,fuzzy,213,96,182,189,243,149,197,193
0.008,19,8,1,dos,254,6,252,245,249,128,2,2
0.009000000000000001,80,4,1,fuzzy,30,69,26,43,5,32,49,155
0.01,1354,5,1,fuzzy,158,95,169,167,133,159,126,50
0.011,19,8,1,dos,250,16,0,13,220,120,2,3
0.012,1374,5,1,fuzzy,16,226,160,2,31,13,70,112
0.013000000000000001,1372,8,1,fuzzy,153,173,170,236,216,1,32,17
0.014,19,8,1,dos,254,253,252,19,13,126,2,4
0.015,64,5,1,fuzzy,177,204,250,242,64,209,103,138
0.016,1564,5,1,fuzzy,228,50,78,10,157,79,199,17
0.017,1849,5,1,fuzzy,85,47,183,128,85,10,120,148
0.018000000000000002,19,7,1,fuzzy,93,63,25,69,149,90,143,210
0.019,19,8,1,dos,253,250,254,15,249,127,2,5
0.02,2012,6,1,fuzzy,95,149,34,174,67,59,163,102
0.021,1866,3,1,fuzzy,224,23,50,91,201,232,138,79
0.022,64,8,1,fuzzy,20,126,76,42,3,222,123,157
0.023,19,8,1,dos,9,250,7,245,245,137,2,6
0.024,19,8,1,dos,0,10,249,5,226,127,2,7
0.025,64,4,0,normal,2,205,0,1,0,0,0,0
0.026000000000000002,32,4,0,normal,5,141,1,3,0,0,0,0
0.027,32,8,1,fuzzy,161,135,59,188,67,234,31,240
0.028,64,3,1,fuzzy,192,140,152,229,33,184,24,23
0.029,2020,4,1,fuzzy,93,5,178,20,211,60,209,145
0.03,19,8,1,dos,233,0,254,236,226,132,2,8
0.031,515,8,1,fuzzy,32,151,82,54,30,224,93,242
0.032,19,8,0,normal,248,250,2,249,255,119,2,8
0.033,759,1,1,fuzzy,149,220,242,34,30,209,33,152
0.034,1967,1,1,fuzzy,20,226,11,102,114,71,193,59
0.035,2014,2,1,fuzzy,162,177,55,131,195,212,232,198
0.036000000000000004,80,6,1,fuzzy,121,91,200,31,164,118,144,132
0.037,19,8,1,dos,238,247,254,225,1,128,2,9
